domain,nr_of_mlists,nr_of_localparts
ebu.ch,3,3
ec.europa.eu,2,2
ece.ericsson.se,1,2
echostar.com,2,3
ecid.cig.mot.com,5,6
ecit.org.cn,5,5
ecrio.com,1,1
ecs.ericsson.se,9,24
ectel.com,1,1
ee.co.uk,3,4
ee.iitb.ac.in,1,1
ee.iith.ac.in,2,3
ee.iitm.ac.in,1,1
eed.ericsson.se,6,14
eedn.ericsson.se,2,2
eei.ericsson.se,1,1
ehu.eus,5,6
eip.ericsson.se,1,1
ekk.ericsson.se,1,1
elektrobit.com,4,8
eln.ericsson.se,3,5
email.mot.com,15,38
email.sps.mot.com,7,7
email1.wes.mot.com,1,1
embeddedwireless.com,1,1
emblaze.com,3,5
emblazesemi.com,1,1
emcite.com,5,7
emcom.org,1,1
emea.nec.com,7,12
emirates.net.ae,2,2
emite-ingenieria.es,2,3
eml.ericsson.se,2,5
emn.ericsson.se,1,1
emobile.jp,2,2
emp.ericsson.se,10,15
empirix.com,1,1
emuzed.com,1,1
emw.ericsson.se,2,2
en.jp.nec.com,2,2
enea.com,1,3
enensys.com,8,13
eng.it,1,1
eng.sun.com,1,1
entrust.com,1,1
enuvis.com,2,3
envisagesystems.co.uk,1,1
envoynetworks.com,1,4
epk.ericsson.se,3,3
epl.ericsson.se,2,2
eplus.de,5,6
equipement.gouv.fr,1,1
era-t.ericsson.se,4,7
era.ericsson.se,18,119
eri.ericsson.se,2,2
ericsson.ca,5,6
ericsson.co.jp,3,3
ericsson.com,80,820
ericsson.com.au,3,3
erillisverkot.fi,3,3
erv.ericsson.se,2,5
esa.int,4,8
esbi.com.tw,1,1
etang.com,1,1
etc.ericsson.se,2,2
eth.ericsson.se,2,2
eth.net,1,1
etisalat.ae,4,4
etm.ericsson.se,3,4
eto.ericsson.se,3,4
etri.re.kr,11,52
ets-bzt.com,3,3
ets-lindgren.com,1,3
ets-ps.com,1,1
ets-tele.com,1,1
etsi.fr,23,153
etsi.org,74,383
etx.ericsson.se,1,1
eu.anritsu.com,4,10
eu.nec.com,1,3
eu.panasonic.com,12,21
eu.sony.com,6,9
eunet.at,1,1
eurecom.fr,3,3
europe.mot.com,2,2
europe27.mot.com,7,10
europe30.mot.com,8,8
europe34.mot.com,2,2
eurpd.csg.mot.com,2,2
eutelsat.com,4,5
everbridge.com,3,3
exfo.com,3,5
expway.com,4,6
external.t-mobile.de,1,1
external.thalesaleniaspace.com,1,1
fb.com,3,4
federatedwireless.com,2,2
fginnov.com,2,3
fgmicrotec.com,1,1
finances.gouv.fr,2,2
firsthop.com,1,1
firstnet.gov,17,24
flab.fujitsu.co.jp,3,6
flarion.com,1,1
flavorsoftware.com,1,1
fle.fujitsu.com,6,9
flextronicssoftware.com,4,5
flink.com.tw,2,2
fokus.gmd.de,2,2
forpost.ru,1,1
foxmail.com,4,4
fr.bosch.de,3,3
fr.merce.mee.com,3,5
fr.oleane.com,3,3
fra.se,1,1
francetelecom.com,22,48
francetelecom.fr,4,4
francis.com,1,1
free.fr,3,3
freescale.com,4,4
frisurf.no,1,1
fub.it,1,1
fujitsu.co.uk,4,9
fujitsu.com,4,12
future.futsoft.com,3,3
futuretext.com,1,1
futurewei.com,14,42
g.softbank.co.jp,10,17
gatehouse.com,1,1
gb.vodafone.co.uk,12,32
gbtwireless.com,2,3
gcloud.cabinet-office.gov.uk,3,4
gd-broadband.com,7,10
gd-ms.uk,5,5
gdm.de,1,1
gdnt.com.cn,1,1
gel.usherb.ca,1,1
gemalto.com,8,17
gemplus.com,6,9
genband.com,4,4
gendarmerie.interieur.gouv.fr,5,5
genista.co.jp,1,1
germany.bosch.com,1,1
ggn.hcltech.com,1,1
gi-de.com,4,8
gilat.com,1,1
gksag.de,3,4
globallocate.com,3,3
globalstar.com,3,3
gm.com,3,4
gmail.com,42,283
gmptools.com,1,1
gmv.com,2,2
gmx.at,3,3
gmx.com,8,8
gmx.de,4,4
gmx.net,2,2
golsonmedia.com,1,1
gooditl.com,1,2
google.com,6,7
googlemail.com,6,7
grayson-wireless.com,1,1
grigg.org,1,1
gsm.org,3,3
gsma.com,1,1
gsta.com,2,2
gw.nttdocomo.co.jp,1,1
gytmi.advantest.co.jp,2,2
h3g.it,3,6
halla.dacom.co.kr,2,2
hanafos.com,1,1
hananet.net,1,1
harman.com,2,2
harris.com,6,13
hc.ti.com,1,1
hcl.in,1,1
hco.ntt.co.jp,6,6
hcs.ts.fujitsu.co.jp,1,2
head-acoustics.com,1,1
head-acoustics.de,2,3
hec.ca,1,1
hei.co.kr,3,4
hemscott.net,1,1
hetnet.nl,1,1
hhi.de,1,1
hhi.fraunhofer.de,12,24
hi3gaccess.se,1,1
highdimension.com.tw,1,1
hisense.com,2,3
hisilicon.com,10,22
hitachi-cta.com,4,6
hitachi.cn,1,1
hitachi.com,7,13
hm.edu,3,3
hn.vnn.vn,1,1
hnc.fujitsu.com,1,1
hns.com,1,1
holmes.nl,1,1
home.com,3,3
homeoffice.gov.uk,6,7
homeoffice.gsi.gov.uk,11,16
hotmail.com,19,41
hp.com,5,9
hpe.com,8,8
hss.hns.com,7,14
hssworld.com,2,2
htc.com,10,13
hthk.com,4,4
huawei.com,77,875
huawei.com.cn,3,10
huawwei.com,1,1
hughes.com,4,6
hursley.ibm.com,1,1
hutchison3g.com,13,21
hwusa.com,1,1
hyd.hellosoft.com,4,15
hytera.com,1,1
ibm.net,1,1
ic.fbi.gov,1,1
